title,price,brand,Model,frequency,RAM
"TESLA  A16 64 GB GDDR6 with Error Correcting Code (ECC) (16 GB per GPU),4x 232 GB/s, 250 W, PCI Express Gen 4.0 x16, Passive (TCSA16M-PB) (385811) {5}",270940,PNY,nan,nan,nan
Ninja GTX750Ti (640SP) 4GB GDDR5 128bit VGA DVI HDMI RTL {20} (NH75TI045F),11060,nan,nan,nan,nan
ASUS nVidia GeForce RTX 3080 TUF GAMING OC 12GB PCI-E 12288Mb GDDR6X 384 Bit Retail,132300,ASUS,nVidia GeForce RTX 3080,1815,12288
GT 610 2GB DDR3 64bit DVI HDMI (AF610-2048D3L7-V5) RTL,2990,nan,nan,nan,nan
PCIE16 TESLA T4 16GB GDDR6 TCST4M-PB PNY,197250,PNY,nan,nan,nan
GeForce RTX 3060 Ti TWIN FAN 8G OC LHR,50630,MSI,nan,nan,nan
PCIE16 GT610 2GB DDR3 AF610-2048D3L7-V6 AFOX,2940,nan,nan,nan,nan
DUAL-RTX2060-O12G-EVO 12GB GDDR6 192bit DVI 2xHDMI DP (562573)  {5},50340,ASUS,nan,nan,nan
Afox GeForce GT 610 AF610-1024D3L7-V5 PCI-E 1024Mb DDR3 64 Bit Retail,2430,Afox,GeForce GT 610,810,1024
ASUS nVidia GeForce RTX 3080 ROG Strix OC 12GB PCI-E 12288Mb GDDR6X 384 Bit Retail,144590,ASUS,nVidia GeForce RTX 3080,1890,12288
Gigabyte PCI-E 4.0 GV-R675XTAORUS E-12GD AMD Radeon RX 6750XT 12288Mb 192 GDDR6 2554/18000 HDMIx2 DPx2 HDCP Ret,61450,GigaByte,nan,nan,nan
PCIE16 RTX3060TI 8GB LHR 3060 TI VEN 2X 8G OCV1 LHR MSI,53960,MSI,nan,nan,nan
MSI RTX 3050 AERO  ITX 8G OC RTL,36620,MSI,nan,nan,nan
"VCNRTXA2000-12GB-BLK (387914) NVIDIA RTX A2000 12GB (12GB GDDR6, Ampere, 8nm, PCI-E4x16, 4 x mDP, 192-bit, CUDA Cor 3328, Tensor Cor 104, RT Cor 26, Act. Fansink, Dual Slot, Low Profile, L 168mm)",73440,PNY,nan,nan,nan
Gigabyte PCI-E 4.0 GV-R675XTGAMING OC-12GD AMD Radeon RX 6750XT 12288Mb 192 GDDR6 2533/18000 HDMIx2 DPx2 HDCP Ret,64940,GigaByte,nan,nan,nan
PCIE16 GTX1650 4GB GDDR6 GV-N1656OC-4GD V2.0 GIGABYTE,18860,GigaByte,nan,nan,nan
Asus PCI-E 4.0 PH-RTX3050-8G NVIDIA GeForce RTX 3050 8192Mb 128 GDDR6 1777/14000 HDMIx1 DPx3 HDCP Ret,35320,ASUS,nan,nan,nan
PCIE16 T1000 8GB GDDR6 900-5G172-2570-000 NVIDIA,51450,nVidia,nan,nan,nan
Gigabyte PCI-E GV-N2060D6-12GD NVIDIA GeForce RTX 2060 12288Mb 192 GDDR6 1650/14000 HDMIx1 DPx3 HDCP Ret,36370,GigaByte,nan,nan,nan
Gigabyte GV-R64EAGLE-4GD RTL,15980,GigaByte,nan,nan,nan
Asus PCI-E 4.0 DUAL-RX6500XT-O4G AMD Radeon RX 6500XT 4096Mb 64 GDDR6 2650/18000 HDMIx1 DPx1 HDCP Ret,20730,ASUS,nan,nan,nan
"NVIDIA TESLA A30 OEM 900-21001-0040-000, 24GB HBM2, PCIe x16 4.0, Dual Slot FHFL, Passive, 165W",389300,nVidia,nan,nan,nan
Palit PCI-E PA-GTX1650 GP OC 4G D6 NV GTX1650 4096Mb 128 GDDR6 1410/12000/HDMIx1/DPx2/HDC NE61650S1BG1-1175A,18450,Palit,nan,nan,nan
"TESLA  A100 40GB HBM2, PCIe x16 4.0, Dual Slot FHFL, Passive, 250W, OEM (900-21001-0000-000) {10}",880290,nVidia,nan,nan,nan
Asus PCI-E 4.0 DUAL-RTX3050-O8G NVIDIA GeForce RTX 3050 8192Mb 128 GDDR6 1822/14000 HDMIx1 DPx3 HDCP Ret,39040,ASUS,nan,nan,nan
NVIDIA TESLA  A30 24GB PCI EXP  (TCSA30M-PB) {5} (384135),389280,PNY,nan,nan,nan
nVidia Quadro RTX A6000 A6000 PCI-E 49152Mb GDDR6 384 Bit OEM 900-5G133-2200-000,475550,nVidia,Quadro RTX A6000,1860,49152
"TESLA  A2 16GB GDDR6  PCIe x8 4.0, Single Slot HHHL, Passive, 60W, PG179 SKU220,GENERIC,GA107-890",95970,nVidia,nan,nan,nan
NVIDIA TESLA  A10 CEC 24GB PCI EXP  (TCSA10MCEC-PB),256680,PNY,nan,nan,nan
PNY Quadro RTX A4500 VCNRTXA4500-SB PCI-E 20480mb GDDR6 320 Bit Retail,160190,PNY,Quadro RTX A4500,1650,20480
"NVIDIA TESLA A16 4x Ampere GPU, 64GB (4x 16GB), 250W (900-2G171-0000-000) {9}",274190,nVidia,nan,nan,nan
"TESLA T4 PG183 SKU200,GENERIC, A01,TU104  OEM (900-2G183-0000-000)",216110,nVidia,nan,nan,nan
PNY Quadro RTX A4500 A4500 PCI-E 20480mb GDDR6 320 Bit Retail SVCNRTXA4500-PB,163070,PNY,Quadro RTX A4500,1650,20480
TCSA2M-PB TESLA 16GB GDDR6 128-bit PCI Express 4.0 x8 (388416) {5},104630,PNY,nan,nan,nan
InnoVISION nVidia GeForce RTX 3080 CMP-90HX X3M PCI-E 10240Mb GDDR6X 320 Bit OEM,86590,InnoVISION,nVidia GeForce RTX 3080,1710,10240
ASUS nVidia GeForce RTX 3060 Dual V2 OC Edition PCI-E 12288Mb GDDR6 192 Bit Retail,49160,ASUS,nVidia GeForce RTX 3060,1867,12288
Palit GeForce GTX 1050 Ti PA-GTX1050Ti StormX 4G PCI-E 4096Mb 128 Bit Retail (PA-GTX1050Ti StormX 4G),21770,Palit,GeForce GTX 1050 Ti,1290,4096
MSI nVidia GeForce RTX 3080 VENTUS 3X PLUS OC LHR PCI-E 10240Mb GDDR6X 320 Bit Retail (RTX 3080 VENTUS 3X PLUS 10G OCLHRRU),140740,MSI,nVidia GeForce RTX 3080,1740,10240
Palit nVidia GeForce RTX 3060 Ti DUAL V1 LHR PCI-E 8192Mb GDDR6 256 Bit Retail (NE6306T019P2-190AD),62670,Palit,nVidia GeForce RTX 3060 Ti,1410,8192
ASUS nVidia GeForce RTX 3060 TUF-V2-GAMING LHR PCI-E 12288Mb GDDR6 192 Bit Retail (TUF-RTX3060-12G-V2-GAMING),49890,ASUS,nVidia GeForce RTX 3060,1807,12288
MSI nVidia GeForce RTX 3060 GAMING X LHR PCI-E 12288Mb GDDR6 192 Bit Retail (RTX 3060 GAMING X 12G),55840,MSI,nVidia GeForce RTX 3060,1837,12288
MSI nVidia GeForce RTX 2060 VENTUS OC PCI-E 12288Mb GDDR6 192 Bit Retail (RTX 2060 VENTUS 12G OC),38230,MSI,nVidia GeForce RTX 2060,1680,12288
MSI nVidia GeForce RTX 3050 VENTUS 2X OC PCI-E 8192Mb GDDR6 128 Bit Retail (RTX 3050 VENTUS 2X 8G OC),37520,MSI,nVidia GeForce RTX 3050,1807,8192
ASUS GeForce GT 730 GT730-SL-2GD5-BRK-E PCI-E 2048Mb GDDR5 64 Bit Retail,6750,ASUS,GeForce GT 730,706,2048
GigaByte Radeon RX 6600 EAGLE PCI-E 8192Mb GDDR6 128 Bit Retail (GV-R66EAGLE-8GD),39250,GigaByte,Radeon RX 6600,1792,"gddr6/"" class=""pseudo"
Palit nVidia GeForce RTX 3060 Ti DUAL OC PCI-E 8192Mb GDDR6 256 Bit Retail (NE6306TS19P2-190AD),54760,Palit,nVidia GeForce RTX 3060 Ti,1410,8192
GigaByte nVidia GeForce RTX 3060 Ti GAMING OC LHR PCI-E 8192Mb GDDR6 256 Bit Retail,56710,GigaByte,nVidia GeForce RTX 3060 Ti,1740,8192
